Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
MiFish-0321-4Pad-Up11-1,MiFish,58802,55051,55021,55042,53872,53872,53711
MiFish-0321-4Pad-Up5-1,MiFish,16339,14796,14750,14759,11070,11070,11070
MiFish-0421-4Pad-Up11-1,MiFish,35674,32546,32489,32501,30112,30112,29995
MiFish-0421-4Pad-Up11-2,MiFish,55748,49139,49063,49050,40057,40057,39856
MiFish-0421-4Pad-Up5-1,MiFish,79656,73501,73400,73407,66100,66100,65410
MiFish-0521-4Pad-Up11-3,MiFish,16072,14964,14959,14953,14840,14840,14389
MiFish-0621-4Pad-Up11-3,MiFish,7867,7284,7272,7265,7140,7140,6894
MiFish-0621-5Sqm-Up-3,MiFish,10649,9875,9832,9826,9542,9542,9542
MiFish-0621-5Sqm-Up-3-TR2,MiFish,91033,84113,83960,84068,82502,82502,79398
MiFish-0621-5Sqm-Up-3-TR3,MiFish,102246,94407,94344,94275,93078,93078,88519
MiFish-0721-4Pad-Up11-1,MiFish,44889,41759,41729,41732,41201,41201,37954
MiFish-0721-4Pad-Up11-3,MiFish,28957,26710,26261,26677,25665,25665,24230
MiFish-0921-1Prt-Dn-1,MiFish,34651,31853,31621,31764,29302,29302,29218
MiFish-0921-1Prt-Dn-3,MiFish,13453,12445,12440,12438,12281,12281,11502
MiFish-0921-2Brn-Dn-1,MiFish,171156,158010,157837,157826,151446,151446,148894
MiFish-0921-2Brn-Dn-3,MiFish,157730,146976,146897,146871,143342,143342,137879
MiFish-0921-2Brn-Up-1,MiFish,143177,130758,130210,130323,100438,100438,100437
MiFish-0921-3Chk-Up-2,MiFish,123382,114815,114589,114714,110837,110837,110641
MiFish-0921-4Pad-Dn-1,MiFish,72819,66828,66776,66799,65300,65300,63121
MiFish-0921-4Pad-Dn-2,MiFish,131314,122588,122577,122570,121561,121561,115422
MiFish-0921-4Pad-Dn-3,MiFish,166782,157896,157815,157464,155356,155356,149088
MiFish-0921-4Pad-Up11-2,MiFish,156820,147311,147267,147294,146218,146218,138874
MiFish-0921-4Pad-Up5-1,MiFish,177591,164804,164281,164775,159468,159468,158558
MiFish-1021-3Chk-Dn-3,MiFish,162504,149773,148988,149377,127460,127460,125888
MiFish-1021-3Chk-Dn-3-TR2,MiFish,124320,111739,111536,111650,101301,101301,100434
MiFish-1021-3Chk-Dn-3-TR3,MiFish,159936,149050,148909,148993,141958,141958,141632
MiFish-1121-4Pad-Up11-3,MiFish,140685,130060,129932,129996,127653,127653,126068
MiFish-1121-4Pad-Up5-3,MiFish,133408,121617,121586,121344,120270,120270,118502
MiFish-1221-3Chk-Up-3,MiFish,79273,69022,68772,68862,5426,5426,5426
MiFish-1221-4Pad-Dn-2,MiFish,141044,126375,126157,126140,83937,83937,83534
MiFish-1221-5Sqm-Up-2,MiFish,142523,127579,127386,127417,114734,114734,111795
MiFish-0122-5Sqm-Up-2,MiFish,139001,127082,127054,127041,126108,126108,124542
MiFish-0222-2Brn-Up-3,MiFish,141442,130485,130344,130414,119446,119446,119438
MiFish-0222-3Chk-Dn-3,MiFish,137856,125874,125752,125785,98574,98574,98468
MiFish-0421-2Brn-Up-3-1-10,MiFish,145208,127215,126842,127031,51869,51869,51792
MiFish-0521-2Brn-Dn-1-1-10,MiFish,130733,120647,120477,120461,113399,113399,112689
MiFish-0521-2Brn-Dn-1-TR2-1-10,MiFish,144093,135242,135189,135096,129199,129199,128623
MiFish-0521-2Brn-Dn-1-TR3-1-10,MiFish,174577,163895,163283,163743,153920,153920,152413
MiFish-0721-4Pad-Up11-2-1-10,MiFish,172641,160441,160284,160149,142985,142985,132768
MiFish-0721-4Pad-Up5-1-1-10,MiFish,116578,104485,104254,104359,48037,48037,47876
MiFish-0721-4Pad-Up5-3-1-10,MiFish,98239,85711,85344,85462,18219,18219,18219
MiFish-0921-1Prt-Up-1-1-10,MiFish,86049,77580,77375,77524,65889,65889,65821
MiFish-0921-1Prt-Up-2-1-10,MiFish,140386,128138,127988,128070,95305,95305,95274
MiFish-0921-4Pad-Up11-3-1-10,MiFish,149873,136233,135953,136097,83742,83742,83258
MiFish-0921-4Pad-Up11-3-TR2-1-10,MiFish,134526,122881,122428,122005,78582,78582,78499
MiFish-0921-4Pad-Up11-3-TR3-1-10,MiFish,165451,151801,151521,151594,104733,104733,104578
MiFish-1121-4Pad-Dn-2-1-10,MiFish,131477,116379,116074,116259,40767,40767,40745
MiFish-1121-4Pad-Up11-1-1-10,MiFish,133689,122705,122444,122275,84724,84724,84563
MiFish-1121-4Pad-Up5-3-TR2-1-10,MiFish,119325,106616,106244,106409,40301,40301,40161
MiFish-1121-4Pad-Up5-3-TR3-1-10,MiFish,140680,125688,125244,125391,65236,65236,65096
MiFish-0122-1Prt-Dn-3-1-10,MiFish,129306,118886,118328,118459,89319,89319,86989
MiFish-0122-1Prt-Dn-3-TR2-1-10,MiFish,149462,136904,136442,136829,108675,108675,108511
MiFish-0122-1Prt-Dn-3-TR3-1-10,MiFish,157978,142862,142665,142699,112140,112140,111286
MiFish-0122-1Prt-Up-1,MiFish,134009,123052,122873,122790,86571,86571,86452
MiFish-Kangaroo,MiFish,179530,164595,164254,164574,163968,163968,163517
MC1-Even-Tissue-noGB-1,MiFish,146908,136579,136339,136534,133600,133600,104656
MC1-Even-Tissue-noGB-2,MiFish,163506,150436,150382,150401,147293,147293,115019
MC1-Even-Tissue-noGB-3,MiFish,175676,162898,162865,162830,159722,159722,124561
MC1-Even-Tissue-GB-1,MiFish,154738,142470,142389,142426,139206,139206,107514
MC1-Even-Tissue-GB-2,MiFish,152105,140710,140664,140586,137930,137930,107982
MC1-Even-Tissue-GB-3,MiFish,131813,120186,120131,120095,117419,117419,92550
MC1-Skew-Tissue-noGB-1,MiFish,163802,150097,150003,150001,147222,147222,119442
MC1-Skew-Tissue-noGB-2,MiFish,148407,135540,135314,135293,132520,132520,107055
MC1-Skew-Tissue-noGB-3,MiFish,157352,143193,143043,143125,140092,140092,114548
MC2-Even-Tissue-noGB-1,MiFish,130094,120214,120131,120138,118890,118890,113997
MC2-Even-Tissue-noGB-2,MiFish,89054,75411,75336,75345,73896,73896,71655
MC2-Even-Tissue-noGB-3,MiFish,121334,109416,109353,109357,108019,108019,104088
MC2-Even-Tissue-GB-1,MiFish,164854,149976,149859,149802,148278,148278,142043
MC2-Even-Tissue-GB-2,MiFish,149134,132574,132465,132493,130704,130704,125203
MC2-Even-Tissue-GB-3,MiFish,138587,126684,126560,126552,124966,124966,119986
MC2-Skew-Tissue-noGB-1,MiFish,148207,133765,133663,133606,131533,131533,124867
MC2-Skew-Tissue-noGB-2,MiFish,161650,147731,147683,147648,145530,145530,138606
MC2-Skew-Tissue-noGB-3,MiFish,81995,76311,76265,76186,75050,75050,70983
MC3-Even-Tissue-noGB-1,MiFish,88783,77319,77262,77250,75964,75964,72544
MC3-Even-Tissue-noGB-2,MiFish,111135,100115,100048,99906,98574,98574,93658
MC3-Even-Tissue-noGB-3,MiFish,151115,137534,137473,137472,135984,135984,128902
MC3-Even-Tissue-GB-1,MiFish,154364,144347,144247,144312,142849,142849,135521
MC3-Even-Tissue-GB-2,MiFish,93584,85299,85183,85122,84129,84129,79850
MC3-Even-Tissue-GB-3,MiFish,173519,157839,157650,157743,156032,156032,147156
MC3-Skew-Tissue-noGB-1,MiFish,176728,162131,161650,162055,158085,158085,147124
MC3-Skew-Tissue-noGB-2,MiFish,159270,146475,146323,146397,143059,143059,133510
MC3-Skew-Tissue-noGB-3,MiFish,166326,153526,153444,153485,150631,150631,139665
MC1-Even-Amplicon-noGB-1,MiFish,150430,137877,137747,137791,133730,133730,123948
MC1-Even-Amplicon-noGB-2,MiFish,113629,104809,104604,104621,100531,100531,92767
MC1-Even-Amplicon-noGB-3,MiFish,126929,117177,116853,116726,112027,112027,101130
MC1-Even-Amplicon-GB-1,MiFish,137767,124518,123641,124390,119180,119180,103300
MC1-Even-Amplicon-GB-2,MiFish,127346,118721,118595,118581,114672,114672,99973
MC1-Even-Amplicon-GB-3,MiFish,146959,135724,135483,135440,130874,130874,117418
MC1-Skew-Amplicon-noGB-1,MiFish,123739,114801,114518,114360,112073,112073,109841
MC1-Skew-Amplicon-noGB-2,MiFish,86166,77912,77893,77642,73539,73539,72791
MC1-Skew-Amplicon-noGB-3,MiFish,140278,130400,130332,130152,121857,121857,120930
MC2-Even-Amplicon-noGB-1,MiFish,169947,158900,158734,158745,155524,155524,139825
MC2-Even-Amplicon-noGB-2,MiFish,155695,143748,143605,143628,139499,139499,132554
MC2-Even-Amplicon-noGB-3,MiFish,160634,145749,145619,145387,141984,141984,134232
MC2-Even-Amplicon-GB-1,MiFish,54409,50290,50215,50197,48841,48841,46524
MC2-Even-Amplicon-GB-2,MiFish,51919,47816,47748,47598,35457,35457,35451
MC2-Even-Amplicon-GB-3,MiFish,39009,35388,35317,35269,33607,33607,32494
MC2-Skew-Amplicon-noGB-1,MiFish,32758,30023,29879,29904,27268,27268,27248
MC2-Skew-Amplicon-noGB-2,MiFish,32155,30002,29884,29969,28734,28734,28687
MC2-Skew-Amplicon-noGB-3,MiFish,71569,66031,65473,65966,64123,64123,63021
MC3-Even-Amplicon-noGB-1,MiFish,109765,102381,102298,102301,99913,99913,95223
MC3-Even-Amplicon-noGB-2,MiFish,80194,72577,72481,72447,69496,69496,68811
MC3-Even-Amplicon-noGB-3,MiFish,35497,32984,32892,32937,31511,31511,29084
MC3-Even-Amplicon-GB-1,MiFish,15256,14324,14301,14289,13589,13589,12401
MC3-Even-Amplicon-GB-2,MiFish,159138,140630,140350,140429,106367,106367,98842
MC3-Even-Amplicon-GB-3,MiFish,45908,43434,43290,43387,41719,41719,38427
MC3-Skew-Amplicon-noGB-1,MiFish,57378,53498,53204,53451,51749,51749,48969
MC3-Skew-Amplicon-noGB-2,MiFish,84882,77383,77187,77265,72117,72117,71691
MC3-Skew-Amplicon-noGB-3,MiFish,90193,83789,83768,83724,82237,82237,77055
